id,name,base_experience,height,weight,speed,hp,attack,defense,special-attack,special-defense,forms,species,is_default,order,ability1,ability2,ability3,type1,type2,moves
270,lotad,44.0,5,26,30,40,30,30,40,50,lotad,lotad,True,370,swift-swim,rain-dish,own-tempo,water,grass,"['swords-dance', 'headbutt', 'body-slam', 'double-edge', 'growl', 'mist', 'water-gun', 'surf', 'ice-beam', 'blizzard', 'bubble-beam', 'counter', 'absorb', 'mega-drain', 'leech-seed', 'razor-leaf', 'solar-beam', 'toxic', 'mimic', 'double-team', 'bubble', 'flash', 'rest', 'substitute', 'thief', 'snore', 'flail', 'protect', 'icy-wind', 'giga-drain', 'endure', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'sweet-scent', 'synthesis', 'hidden-power', 'rain-dance', 'sunny-day', 'whirlpool', 'uproar', 'hail', 'facade', 'nature-power', 'secret-power', 'teeter-dance', 'astonish', 'tickle', 'bullet-seed', 'water-pulse', 'natural-gift', 'seed-bomb', 'energy-ball', 'zen-headbutt', 'captivate', 'grass-knot', 'round', 'echoed-voice', 'scald', 'confide', 'grassy-glide']"
271,lombre,119.0,12,325,50,60,50,50,60,70,lombre,lombre,True,371,swift-swim,rain-dish,own-tempo,water,grass,"['mega-punch', 'fire-punch', 'ice-punch', 'thunder-punch', 'swords-dance', 'mega-kick', 'headbutt', 'body-slam', 'double-edge', 'growl', 'mist', 'water-gun', 'hydro-pump', 'surf', 'ice-beam', 'blizzard', 'bubble-beam', 'strength', 'absorb', 'mega-drain', 'solar-beam', 'toxic', 'mimic', 'double-team', 'waterfall', 'bubble', 'flash', 'fury-swipes', 'rest', 'substitute', 'thief', 'snore', 'flail', 'protect', 'mud-slap', 'icy-wind', 'giga-drain', 'endure', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'dynamic-punch', 'encore', 'synthesis', 'hidden-power', 'rain-dance', 'sunny-day', 'rock-smash', 'whirlpool', 'fake-out', 'uproar', 'hail', 'facade', 'nature-power', 'brick-break', 'knock-off', 'secret-power', 'dive', 'teeter-dance', 'hyper-voice', 'astonish', 'muddy-water', 'bullet-seed', 'mud-shot', 'water-sport', 'water-pulse', 'natural-gift', 'fling', 'seed-bomb', 'drain-punch', 'energy-ball', 'zen-headbutt', 'captivate', 'grass-knot', 'hone-claws', 'round', 'echoed-voice', 'scald', 'confide', 'power-up-punch', 'grassy-glide']"
272,ludicolo,240.0,15,550,70,80,70,70,90,100,ludicolo,ludicolo,True,372,swift-swim,rain-dish,own-tempo,water,grass,"['mega-punch', 'fire-punch', 'ice-punch', 'thunder-punch', 'swords-dance', 'mega-kick', 'headbutt', 'body-slam', 'double-edge', 'growl', 'mist', 'water-gun', 'hydro-pump', 'surf', 'ice-beam', 'blizzard', 'bubble-beam', 'hyper-beam', 'counter', 'seismic-toss', 'strength', 'absorb', 'mega-drain', 'solar-beam', 'toxic', 'mimic', 'double-team', 'metronome', 'waterfall', 'amnesia', 'flash', 'fury-swipes', 'rest', 'substitute', 'thief', 'snore', 'flail', 'protect', 'mud-slap', 'icy-wind', 'giga-drain', 'endure', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'dynamic-punch', 'encore', 'synthesis', 'hidden-power', 'rain-dance', 'sunny-day', 'rock-smash', 'whirlpool', 'fake-out', 'uproar', 'hail', 'facade', 'focus-punch', 'nature-power', 'brick-break', 'knock-off', 'secret-power', 'dive', 'teeter-dance', 'hyper-voice', 'astonish', 'weather-ball', 'muddy-water', 'bullet-seed', 'mud-shot', 'water-pulse', 'natural-gift', 'fling', 'seed-bomb', 'drain-punch', 'focus-blast', 'energy-ball', 'giga-impact', 'zen-headbutt', 'rock-climb', 'leaf-storm', 'captivate', 'grass-knot', 'hone-claws', 'round', 'echoed-voice', 'scald', 'confide', 'power-up-punch', 'grassy-glide']"
273,seedot,44.0,5,40,30,40,40,50,30,30,seedot,seedot,True,373,chlorophyll,early-bird,pickpocket,grass,,"['razor-wind', 'swords-dance', 'headbutt', 'tackle', 'body-slam', 'take-down', 'double-edge', 'absorb', 'mega-drain', 'leech-seed', 'growth', 'solar-beam', 'dig', 'toxic', 'quick-attack', 'mimic', 'double-team', 'harden', 'defense-curl', 'bide', 'self-destruct', 'amnesia', 'flash', 'explosion', 'rest', 'substitute', 'snore', 'spite', 'protect', 'giga-drain', 'endure', 'rollout', 'false-swipe', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'synthesis', 'hidden-power', 'sunny-day', 'shadow-ball', 'rock-smash', 'beat-up', 'facade', 'nature-power', 'secret-power', 'astonish', 'bullet-seed', 'natural-gift', 'payback', 'power-swap', 'worry-seed', 'sucker-punch', 'night-slash', 'seed-bomb', 'energy-ball', 'nasty-plot', 'defog', 'captivate', 'grass-knot', 'foul-play', 'round', 'retaliate', 'grassy-terrain', 'confide', 'grassy-glide']"
274,nuzleaf,119.0,10,280,60,70,70,40,60,40,nuzleaf,nuzleaf,True,374,chlorophyll,early-bird,pickpocket,grass,dark,"['pound', 'razor-wind', 'swords-dance', 'cut', 'mega-kick', 'headbutt', 'tackle', 'body-slam', 'double-edge', 'hyper-beam', 'low-kick', 'strength', 'absorb', 'mega-drain', 'growth', 'razor-leaf', 'solar-beam', 'dig', 'toxic', 'mimic', 'double-team', 'harden', 'defense-curl', 'self-destruct', 'swift', 'amnesia', 'flash', 'explosion', 'rest', 'rock-slide', 'substitute', 'thief', 'snore', 'spite', 'protect', 'feint-attack', 'mud-slap', 'giga-drain', 'endure', 'rollout', 'false-swipe', 'swagger', 'fury-cutter', 'attract', 'sleep-talk', 'return', 'frustration', 'synthesis', 'hidden-power', 'sunny-day', 'psych-up', 'shadow-ball', 'rock-smash', 'beat-up', 'fake-out', 'torment', 'facade', 'nature-power', 'brick-break', 'secret-power', 'astonish', 'air-cutter', 'rock-tomb', 'extrasensory', 'bullet-seed', 'leaf-blade', 'natural-gift', 'payback', 'assurance', 'embargo', 'fling', 'power-swap', 'worry-seed', 'sucker-punch', 'dark-pulse', 'seed-bomb', 'energy-ball', 'nasty-plot', 'defog', 'captivate', 'grass-knot', 'low-sweep', 'foul-play', 'round', 'retaliate', 'snarl', 'grassy-terrain', 'confide', 'power-up-punch', 'solar-blade', 'grassy-glide', 'lash-out']"
275,shiftry,240.0,13,596,80,90,100,60,90,60,shiftry,shiftry,True,375,chlorophyll,early-bird,pickpocket,grass,dark,"['pound', 'swords-dance', 'cut', 'whirlwind', 'mega-kick', 'headbutt', 'tackle', 'body-slam', 'double-edge', 'hyper-beam', 'low-kick', 'strength', 'absorb', 'mega-drain', 'growth', 'razor-leaf', 'solar-beam', 'dig', 'toxic', 'mimic', 'screech', 'double-team', 'harden', 'defense-curl', 'self-destruct', 'swift', 'amnesia', 'flash', 'explosion', 'rest', 'rock-slide', 'substitute', 'thief', 'snore', 'spite', 'protect', 'feint-attack', 'mud-slap', 'icy-wind', 'giga-drain', 'endure', 'rollout', 'false-swipe', 'swagger', 'fury-cutter', 'attract', 'sleep-talk', 'return', 'frustration', 'synthesis', 'hidden-power', 'twister', 'sunny-day', 'psych-up', 'shadow-ball', 'rock-smash', 'beat-up', 'fake-out', 'heat-wave', 'torment', 'facade', 'nature-power', 'revenge', 'brick-break', 'knock-off', 'secret-power', 'astonish', 'air-cutter', 'rock-tomb', 'silver-wind', 'extrasensory', 'bullet-seed', 'aerial-ace', 'bounce', 'leaf-blade', 'natural-gift', 'tailwind', 'payback', 'assurance', 'embargo', 'fling', 'power-swap', 'worry-seed', 'sucker-punch', 'dark-pulse', 'seed-bomb', 'air-slash', 'x-scissor', 'focus-blast', 'energy-ball', 'giga-impact', 'nasty-plot', 'defog', 'leaf-storm', 'captivate', 'grass-knot', 'ominous-wind', 'low-sweep', 'foul-play', 'round', 'retaliate', 'leaf-tornado', 'hurricane', 'snarl', 'grassy-terrain', 'confide', 'power-up-punch', 'solar-blade', 'throat-chop', 'brutal-swing', 'grassy-glide', 'lash-out']"
276,taillow,54.0,3,23,85,40,55,30,30,30,taillow,taillow,True,376,guts,scrappy,,normal,flying,"['wing-attack', 'whirlwind', 'fly', 'double-edge', 'growl', 'supersonic', 'peck', 'counter', 'toxic', 'agility', 'quick-attack', 'rage', 'mimic', 'double-team', 'focus-energy', 'mirror-move', 'swift', 'sky-attack', 'rest', 'substitute', 'thief', 'snore', 'reversal', 'protect', 'mud-slap', 'endure', 'swagger', 'steel-wing', 'attract', 'sleep-talk', 'return', 'frustration', 'pursuit', 'hidden-power', 'twister', 'rain-dance', 'sunny-day', 'heat-wave', 'facade', 'endeavor', 'refresh', 'secret-power', 'air-cutter', 'aerial-ace', 'roost', 'natural-gift', 'pluck', 'tailwind', 'u-turn', 'air-slash', 'brave-bird', 'defog', 'captivate', 'ominous-wind', 'round', 'echoed-voice', 'quick-guard', 'work-up', 'hurricane', 'boomburst', 'confide']"
277,swellow,159.0,7,198,125,60,85,60,75,50,swellow,swellow,True,377,guts,scrappy,,normal,flying,"['wing-attack', 'fly', 'double-edge', 'growl', 'hyper-beam', 'peck', 'counter', 'toxic', 'agility', 'quick-attack', 'mimic', 'double-team', 'focus-energy', 'swift', 'sky-attack', 'rest', 'substitute', 'thief', 'snore', 'reversal', 'protect', 'mud-slap', 'endure', 'swagger', 'steel-wing', 'attract', 'sleep-talk', 'return', 'frustration', 'hidden-power', 'twister', 'rain-dance', 'sunny-day', 'heat-wave', 'facade', 'endeavor', 'secret-power', 'air-cutter', 'aerial-ace', 'roost', 'natural-gift', 'pluck', 'tailwind', 'u-turn', 'air-slash', 'brave-bird', 'giga-impact', 'defog', 'captivate', 'ominous-wind', 'round', 'echoed-voice', 'quick-guard', 'work-up', 'confide', 'laser-focus']"
278,wingull,54.0,6,95,85,40,30,30,55,30,wingull,wingull,True,378,keen-eye,hydration,rain-dish,water,flying,"['gust', 'wing-attack', 'fly', 'take-down', 'double-edge', 'growl', 'supersonic', 'mist', 'water-gun', 'hydro-pump', 'surf', 'ice-beam', 'blizzard', 'toxic', 'agility', 'quick-attack', 'mimic', 'double-team', 'waterfall', 'swift', 'sky-attack', 'rest', 'substitute', 'thief', 'snore', 'protect', 'mud-slap', 'icy-wind', 'endure', 'swagger', 'steel-wing', 'attract', 'sleep-talk', 'return', 'frustration', 'pursuit', 'hidden-power', 'twister', 'rain-dance', 'uproar', 'hail', 'facade', 'helping-hand', 'knock-off', 'secret-power', 'air-cutter', 'aerial-ace', 'water-sport', 'shock-wave', 'water-pulse', 'roost', 'brine', 'natural-gift', 'pluck', 'tailwind', 'u-turn', 'aqua-ring', 'air-slash', 'brave-bird', 'defog', 'captivate', 'ominous-wind', 'wide-guard', 'soak', 'round', 'echoed-voice', 'scald', 'acrobatics', 'hurricane', 'confide', 'liquidation', 'dual-wingbeat', 'tera-blast', 'snowscape', 'chilling-water']"
279,pelipper,154.0,12,280,65,60,50,100,95,70,pelipper,pelipper,True,379,keen-eye,drizzle,rain-dish,water,flying,"['wing-attack', 'fly', 'body-slam', 'take-down', 'double-edge', 'growl', 'supersonic', 'mist', 'water-gun', 'hydro-pump', 'surf', 'ice-beam', 'blizzard', 'hyper-beam', 'toxic', 'agility', 'quick-attack', 'mimic', 'double-team', 'waterfall', 'swift', 'sky-attack', 'rest', 'substitute', 'thief', 'snore', 'protect', 'mud-slap', 'icy-wind', 'endure', 'swagger', 'steel-wing', 'attract', 'sleep-talk', 'return', 'frustration', 'hidden-power', 'twister', 'rain-dance', 'whirlpool', 'uproar', 'stockpile', 'spit-up', 'swallow', 'hail', 'facade', 'helping-hand', 'knock-off', 'secret-power', 'weather-ball', 'air-cutter', 'aerial-ace', 'water-sport', 'shock-wave', 'water-pulse', 'roost', 'brine', 'natural-gift', 'pluck', 'tailwind', 'u-turn', 'payback', 'fling', 'seed-bomb', 'air-slash', 'brave-bird', 'giga-impact', 'defog', 'gunk-shot', 'captivate', 'ominous-wind', 'soak', 'round', 'echoed-voice', 'scald', 'sky-drop', 'acrobatics', 'hurricane', 'confide', 'liquidation', 'dual-wingbeat', 'tera-blast', 'snowscape', 'chilling-water']"
280,ralts,40.0,4,66,40,28,25,25,45,35,ralts,ralts,True,380,synchronize,trace,telepathy,psychic,fairy,"['mega-punch', 'fire-punch', 'ice-punch', 'thunder-punch', 'mega-kick', 'headbutt', 'body-slam', 'double-edge', 'growl', 'disable', 'psybeam', 'thunderbolt', 'thunder-wave', 'toxic', 'confusion', 'psychic', 'hypnosis', 'teleport', 'mimic', 'double-team', 'confuse-ray', 'defense-curl', 'light-screen', 'reflect', 'metronome', 'swift', 'dream-eater', 'flash', 'rest', 'substitute', 'thief', 'nightmare', 'snore', 'protect', 'mud-slap', 'destiny-bond', 'icy-wind', 'endure', 'charm', 'swagger', 'mean-look', 'attract', 'sleep-talk', 'return', 'frustration', 'safeguard', 'pain-split', 'encore', 'hidden-power', 'rain-dance', 'sunny-day', 'psych-up', 'shadow-ball', 'future-sight', 'torment', 'will-o-wisp', 'memento', 'facade', 'taunt', 'helping-hand', 'trick', 'magic-coat', 'recycle', 'knock-off', 'skill-swap', 'imprison', 'grudge', 'snatch', 'secret-power', 'hyper-voice', 'signal-beam', 'magical-leaf', 'calm-mind', 'shock-wave', 'natural-gift', 'fling', 'lucky-chant', 'shadow-sneak', 'zen-headbutt', 'trick-room', 'captivate', 'grass-knot', 'charge-beam', 'wonder-room', 'psyshock', 'telekinesis', 'magic-room', 'synchronoise', 'round', 'echoed-voice', 'stored-power', 'ally-switch', 'heal-pulse', 'disarming-voice', 'draining-kiss', 'misty-terrain', 'confide', 'mystical-fire', 'dazzling-gleam', 'psychic-terrain', 'life-dew', 'expanding-force', 'tera-blast']"
281,kirlia,97.0,8,202,50,38,35,35,65,55,kirlia,kirlia,True,381,synchronize,trace,telepathy,psychic,fairy,"['mega-punch', 'fire-punch', 'ice-punch', 'thunder-punch', 'mega-kick', 'headbutt', 'body-slam', 'double-edge', 'growl', 'psybeam', 'hyper-beam', 'thunderbolt', 'thunder-wave', 'toxic', 'confusion', 'psychic', 'hypnosis', 'teleport', 'mimic', 'double-team', 'confuse-ray', 'defense-curl', 'light-screen', 'reflect', 'metronome', 'swift', 'dream-eater', 'flash', 'rest', 'substitute', 'thief', 'nightmare', 'snore', 'protect', 'mud-slap', 'icy-wind', 'endure', 'charm', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'safeguard', 'pain-split', 'encore', 'hidden-power', 'rain-dance', 'sunny-day', 'psych-up', 'shadow-ball', 'future-sight', 'torment', 'will-o-wisp', 'facade', 'taunt', 'helping-hand', 'trick', 'magic-coat', 'recycle', 'skill-swap', 'imprison', 'snatch', 'secret-power', 'hyper-voice', 'signal-beam', 'magical-leaf', 'calm-mind', 'shock-wave', 'natural-gift', 'fling', 'lucky-chant', 'zen-headbutt', 'trick-room', 'captivate', 'grass-knot', 'charge-beam', 'wonder-room', 'psyshock', 'telekinesis', 'magic-room', 'round', 'echoed-voice', 'stored-power', 'ally-switch', 'heal-pulse', 'disarming-voice', 'draining-kiss', 'misty-terrain', 'confide', 'dazzling-gleam', 'psychic-terrain', 'life-dew', 'expanding-force', 'triple-axel', 'tera-blast']"
282,gardevoir,259.0,16,484,80,68,65,65,125,115,gardevoir,gardevoir,True,382,synchronize,trace,telepathy,psychic,fairy,"['mega-punch', 'fire-punch', 'ice-punch', 'thunder-punch', 'mega-kick', 'headbutt', 'body-slam', 'double-edge', 'growl', 'psybeam', 'hyper-beam', 'thunderbolt', 'thunder-wave', 'toxic', 'confusion', 'psychic', 'hypnosis', 'teleport', 'night-shade', 'mimic', 'double-team', 'confuse-ray', 'defense-curl', 'light-screen', 'reflect', 'metronome', 'swift', 'dream-eater', 'flash', 'rest', 'substitute', 'thief', 'nightmare', 'snore', 'protect', 'mud-slap', 'icy-wind', 'endure', 'charm', 'swagger', 'attract', 'sleep-talk', 'heal-bell', 'return', 'frustration', 'safeguard', 'pain-split', 'encore', 'hidden-power', 'rain-dance', 'sunny-day', 'psych-up', 'shadow-ball', 'future-sight', 'torment', 'will-o-wisp', 'facade', 'taunt', 'helping-hand', 'trick', 'wish', 'magic-coat', 'recycle', 'skill-swap', 'imprison', 'snatch', 'secret-power', 'hyper-voice', 'signal-beam', 'magical-leaf', 'calm-mind', 'shock-wave', 'healing-wish', 'natural-gift', 'fling', 'power-swap', 'guard-swap', 'aura-sphere', 'focus-blast', 'energy-ball', 'giga-impact', 'zen-headbutt', 'trick-room', 'captivate', 'grass-knot', 'charge-beam', 'wonder-room', 'psyshock', 'telekinesis', 'magic-room', 'round', 'echoed-voice', 'stored-power', 'ally-switch', 'heal-pulse', 'disarming-voice', 'draining-kiss', 'misty-terrain', 'moonblast', 'confide', 'mystical-fire', 'dazzling-gleam', 'laser-focus', 'psychic-terrain', 'life-dew', 'expanding-force', 'misty-explosion', 'triple-axel', 'tera-blast']"
283,surskit,54.0,5,17,65,40,30,32,50,52,surskit,surskit,True,386,swift-swim,rain-dish,,bug,water,"['take-down', 'double-edge', 'mist', 'water-gun', 'hydro-pump', 'surf', 'ice-beam', 'blizzard', 'psybeam', 'bubble-beam', 'solar-beam', 'string-shot', 'toxic', 'agility', 'quick-attack', 'mimic', 'double-team', 'haze', 'waterfall', 'swift', 'leech-life', 'bubble', 'flash', 'rest', 'substitute', 'thief', 'mind-reader', 'snore', 'protect', 'mud-slap', 'foresight', 'icy-wind', 'giga-drain', 'endure', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'baton-pass', 'sweet-scent', 'hidden-power', 'rain-dance', 'sunny-day', 'psych-up', 'shadow-ball', 'facade', 'helping-hand', 'secret-power', 'signal-beam', 'mud-shot', 'water-sport', 'water-pulse', 'natural-gift', 'bug-buzz', 'captivate', 'bug-bite', 'aqua-jet', 'power-split', 'soak', 'round', 'scald', 'acrobatics', 'struggle-bug', 'sticky-web', 'fell-stinger', 'confide', 'infestation', 'lunge', 'liquidation', 'tera-blast', 'pounce', 'chilling-water']"
284,masquerain,159.0,8,36,80,70,60,62,100,82,masquerain,masquerain,True,387,intimidate,unnerve,,bug,flying,"['gust', 'whirlwind', 'take-down', 'double-edge', 'water-gun', 'hydro-pump', 'surf', 'ice-beam', 'blizzard', 'psybeam', 'hyper-beam', 'solar-beam', 'stun-spore', 'string-shot', 'toxic', 'agility', 'quick-attack', 'mimic', 'double-team', 'waterfall', 'swift', 'leech-life', 'bubble', 'flash', 'rest', 'substitute', 'thief', 'nightmare', 'snore', 'protect', 'scary-face', 'mud-slap', 'icy-wind', 'giga-drain', 'endure', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'baton-pass', 'sweet-scent', 'hidden-power', 'twister', 'rain-dance', 'sunny-day', 'psych-up', 'shadow-ball', 'facade', 'helping-hand', 'secret-power', 'air-cutter', 'silver-wind', 'signal-beam', 'aerial-ace', 'mud-shot', 'water-sport', 'water-pulse', 'roost', 'natural-gift', 'tailwind', 'u-turn', 'air-slash', 'bug-buzz', 'energy-ball', 'giga-impact', 'defog', 'captivate', 'bug-bite', 'ominous-wind', 'quiver-dance', 'soak', 'foul-play', 'round', 'scald', 'acrobatics', 'struggle-bug', 'hurricane', 'confide', 'infestation', 'liquidation', 'tera-blast', 'pounce', 'chilling-water']"
285,shroomish,59.0,4,45,35,60,40,60,40,60,shroomish,shroomish,True,388,effect-spore,poison-heal,quick-feet,grass,,"['swords-dance', 'headbutt', 'tackle', 'body-slam', 'take-down', 'double-edge', 'absorb', 'mega-drain', 'leech-seed', 'growth', 'solar-beam', 'poison-powder', 'stun-spore', 'toxic', 'mimic', 'double-team', 'swift', 'spore', 'flash', 'rest', 'substitute', 'snore', 'protect', 'sludge-bomb', 'giga-drain', 'endure', 'charm', 'false-swipe', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'safeguard', 'synthesis', 'hidden-power', 'rain-dance', 'sunny-day', 'facade', 'focus-punch', 'helping-hand', 'snatch', 'secret-power', 'fake-tears', 'bullet-seed', 'magical-leaf', 'wake-up-slap', 'natural-gift', 'worry-seed', 'seed-bomb', 'drain-punch', 'energy-ball', 'zen-headbutt', 'gunk-shot', 'captivate', 'grass-knot', 'venoshock', 'round', 'grassy-terrain', 'confide', 'tera-blast', 'pounce']"
286,breloom,161.0,12,392,70,60,130,80,60,60,breloom,breloom,True,389,effect-spore,poison-heal,technician,grass,fighting,"['mega-punch', 'thunder-punch', 'swords-dance', 'cut', 'mega-kick', 'headbutt', 'tackle', 'body-slam', 'take-down', 'double-edge', 'hyper-beam', 'low-kick', 'counter', 'seismic-toss', 'strength', 'absorb', 'mega-drain', 'leech-seed', 'growth', 'solar-beam', 'poison-powder', 'stun-spore', 'dig', 'toxic', 'mimic', 'double-team', 'swift', 'flash', 'rest', 'rock-slide', 'substitute', 'mind-reader', 'snore', 'reversal', 'protect', 'mach-punch', 'sludge-bomb', 'mud-slap', 'giga-drain', 'endure', 'charm', 'false-swipe', 'swagger', 'fury-cutter', 'attract', 'sleep-talk', 'return', 'frustration', 'safeguard', 'dynamic-punch', 'iron-tail', 'synthesis', 'hidden-power', 'rain-dance', 'sunny-day', 'rock-smash', 'facade', 'focus-punch', 'helping-hand', 'superpower', 'brick-break', 'snatch', 'secret-power', 'fake-tears', 'rock-tomb', 'sky-uppercut', 'bullet-seed', 'aerial-ace', 'bulk-up', 'mud-shot', 'magical-leaf', 'natural-gift', 'feint', 'close-combat', 'fling', 'worry-seed', 'force-palm', 'poison-jab', 'seed-bomb', 'drain-punch', 'vacuum-wave', 'focus-blast', 'energy-ball', 'giga-impact', 'zen-headbutt', 'leaf-storm', 'gunk-shot', 'stone-edge', 'captivate', 'grass-knot', 'venoshock', 'low-sweep', 'round', 'retaliate', 'bulldoze', 'work-up', 'grassy-terrain', 'confide', 'power-up-punch', 'laser-focus', 'tera-blast', 'pounce']"
287,slakoth,56.0,8,240,30,60,60,60,35,35,slakoth,slakoth,True,390,truant,,,normal,,"['mega-punch', 'fire-punch', 'ice-punch', 'thunder-punch', 'scratch', 'cut', 'mega-kick', 'headbutt', 'body-slam', 'take-down', 'double-edge', 'flamethrower', 'ice-beam', 'blizzard', 'counter', 'seismic-toss', 'strength', 'solar-beam', 'thunderbolt', 'thunder', 'toxic', 'mimic', 'double-team', 'metronome', 'fire-blast', 'amnesia', 'rest', 'rock-slide', 'slash', 'substitute', 'thief', 'snore', 'curse', 'flail', 'protect', 'feint-attack', 'mud-slap', 'icy-wind', 'endure', 'false-swipe', 'swagger', 'fury-cutter', 'attract', 'sleep-talk', 'return', 'frustration', 'dynamic-punch', 'encore', 'pursuit', 'metal-claw', 'hidden-power', 'rain-dance', 'sunny-day', 'shadow-ball', 'rock-smash', 'facade', 'focus-punch', 'helping-hand', 'brick-break', 'yawn', 'secret-power', 'slack-off', 'crush-claw', 'rock-tomb', 'tickle', 'aerial-ace', 'bulk-up', 'mud-shot', 'covet', 'shock-wave', 'water-pulse', 'hammer-arm', 'natural-gift', 'fling', 'sucker-punch', 'poison-jab', 'night-slash', 'seed-bomb', 'x-scissor', 'shadow-claw', 'zen-headbutt', 'gunk-shot', 'captivate', 'hone-claws', 'after-you', 'round', 'chip-away', 'incinerate', 'retaliate', 'work-up', 'play-rough', 'confide', 'power-up-punch', 'throat-chop', 'tera-blast', 'chilling-water']"
288,vigoroth,154.0,14,465,90,80,80,80,55,55,vigoroth,vigoroth,True,391,vital-spirit,,,normal,,"['mega-punch', 'fire-punch', 'ice-punch', 'thunder-punch', 'scratch', 'cut', 'mega-kick', 'headbutt', 'body-slam', 'take-down', 'double-edge', 'roar', 'flamethrower', 'ice-beam', 'blizzard', 'low-kick', 'counter', 'seismic-toss', 'strength', 'solar-beam', 'thunderbolt', 'thunder-wave', 'thunder', 'earthquake', 'dig', 'toxic', 'mimic', 'double-team', 'focus-energy', 'metronome', 'fire-blast', 'amnesia', 'fury-swipes', 'rest', 'rock-slide', 'slash', 'substitute', 'thief', 'snore', 'reversal', 'protect', 'scary-face', 'mud-slap', 'icy-wind', 'outrage', 'endure', 'false-swipe', 'swagger', 'fury-cutter', 'attract', 'sleep-talk', 'return', 'frustration', 'dynamic-punch', 'encore', 'metal-claw', 'hidden-power', 'rain-dance', 'sunny-day', 'shadow-ball', 'rock-smash', 'uproar', 'facade', 'focus-punch', 'taunt', 'helping-hand', 'brick-break', 'secret-power', 'hyper-voice', 'rock-tomb', 'aerial-ace', 'bulk-up', 'mud-shot', 'covet', 'shock-wave', 'water-pulse', 'natural-gift', 'fling', 'sucker-punch', 'poison-jab', 'seed-bomb', 'x-scissor', 'drain-punch', 'focus-blast', 'shadow-claw', 'zen-headbutt', 'rock-climb', 'gunk-shot', 'captivate', 'hone-claws', 'low-sweep', 'after-you', 'round', 'chip-away', 'incinerate', 'retaliate', 'bulldoze', 'work-up', 'play-rough', 'confide', 'power-up-punch', 'throat-chop', 'stomping-tantrum', 'tera-blast', 'trailblaze', 'chilling-water']"
289,slaking,252.0,20,1305,100,150,160,100,95,65,slaking,slaking,True,392,truant,,,normal,,"['mega-punch', 'fire-punch', 'ice-punch', 'thunder-punch', 'scratch', 'cut', 'mega-kick', 'headbutt', 'body-slam', 'take-down', 'double-edge', 'roar', 'flamethrower', 'ice-beam', 'blizzard', 'hyper-beam', 'low-kick', 'counter', 'seismic-toss', 'strength', 'solar-beam', 'thunderbolt', 'thunder-wave', 'thunder', 'earthquake', 'dig', 'toxic', 'mimic', 'double-team', 'metronome', 'fire-blast', 'amnesia', 'rest', 'rock-slide', 'substitute', 'thief', 'snore', 'flail', 'reversal', 'protect', 'scary-face', 'feint-attack', 'mud-slap', 'icy-wind', 'outrage', 'endure', 'false-swipe', 'swagger', 'fury-cutter', 'attract', 'sleep-talk', 'return', 'frustration', 'dynamic-punch', 'encore', 'metal-claw', 'hidden-power', 'rain-dance', 'sunny-day', 'shadow-ball', 'rock-smash', 'facade', 'focus-punch', 'taunt', 'helping-hand', 'brick-break', 'yawn', 'secret-power', 'slack-off', 'hyper-voice', 'rock-tomb', 'aerial-ace', 'block', 'bulk-up', 'mud-shot', 'covet', 'shock-wave', 'water-pulse', 'hammer-arm', 'natural-gift', 'fling', 'punishment', 'sucker-punch', 'poison-jab', 'seed-bomb', 'x-scissor', 'drain-punch', 'focus-blast', 'giga-impact', 'shadow-claw', 'zen-headbutt', 'rock-climb', 'gunk-shot', 'captivate', 'hone-claws', 'smack-down', 'heavy-slam', 'low-sweep', 'after-you', 'round', 'chip-away', 'incinerate', 'quash', 'retaliate', 'bulldoze', 'work-up', 'wild-charge', 'play-rough', 'confide', 'power-up-punch', 'throat-chop', 'stomping-tantrum', 'body-press', 'tera-blast', 'pounce', 'trailblaze', 'chilling-water']"
290,nincada,53.0,5,55,40,31,45,90,30,30,nincada,nincada,True,393,compound-eyes,run-away,,bug,ground,"['scratch', 'cut', 'gust', 'sand-attack', 'double-edge', 'absorb', 'solar-beam', 'string-shot', 'dig', 'toxic', 'mimic', 'double-team', 'harden', 'bide', 'leech-life', 'flash', 'fury-swipes', 'rest', 'substitute', 'mind-reader', 'snore', 'flail', 'spite', 'protect', 'feint-attack', 'mud-slap', 'sandstorm', 'giga-drain', 'endure', 'false-swipe', 'swagger', 'fury-cutter', 'sleep-talk', 'return', 'frustration', 'metal-claw', 'hidden-power', 'sunny-day', 'shadow-ball', 'facade', 'secret-power', 'silver-wind', 'aerial-ace', 'natural-gift', 'night-slash', 'x-scissor', 'bug-buzz', 'bug-bite', 'hone-claws', 'round', 'final-gambit', 'struggle-bug', 'confide', 'skitter-smack']"
