type,name,order,base_happiness,capture_rate,color,evolves_from_species,forms_switchable,generation,growth_rate,habitat,shape,%_female,% male,has_gender_differences,hatch_counter,egg_group1,egg_group2,is_baby,is_legendary,is_mythical,pal_park_encounters,varieties
raichu,raichu,27,50.0,75,yellow,pikachu,False,1,medium,forest,upright,50.0,50.0,True,10.0,ground,fairy,False,False,False,forest,"['raichu', 'raichu-alola']"
sandshrew,sandshrew,28,50.0,255,yellow,,False,1,medium,rough-terrain,upright,50.0,50.0,False,20.0,ground,,False,False,False,mountain,"['sandshrew', 'sandshrew-alola']"
sandslash,sandslash,29,50.0,90,yellow,sandshrew,False,1,medium,rough-terrain,upright,50.0,50.0,False,20.0,ground,,False,False,False,mountain,"['sandslash', 'sandslash-alola']"
nidoran-f,nidoran-f,30,50.0,235,blue,,False,1,medium-slow,grassland,quadruped,100.0,0.0,False,20.0,monster,ground,False,False,False,field,['nidoran-f']
nidorina,nidorina,31,50.0,120,blue,nidoran-f,False,1,medium-slow,grassland,quadruped,100.0,0.0,False,20.0,no-eggs,,False,False,False,field,['nidorina']
nidoqueen,nidoqueen,32,50.0,45,blue,nidorina,False,1,medium-slow,grassland,upright,100.0,0.0,False,20.0,no-eggs,,False,False,False,field,['nidoqueen']
nidoran-m,nidoran-m,33,50.0,235,purple,,False,1,medium-slow,grassland,quadruped,0.0,100.0,False,20.0,monster,ground,False,False,False,field,['nidoran-m']
nidorino,nidorino,34,50.0,120,purple,nidoran-m,False,1,medium-slow,grassland,quadruped,0.0,100.0,False,20.0,monster,ground,False,False,False,field,['nidorino']
nidoking,nidoking,35,50.0,45,purple,nidorino,False,1,medium-slow,grassland,upright,0.0,100.0,False,20.0,monster,ground,False,False,False,field,['nidoking']
clefairy,clefairy,37,140.0,150,pink,cleffa,False,1,fast,mountain,upright,75.0,25.0,False,10.0,fairy,,False,False,False,mountain,['clefairy']
clefable,clefable,38,140.0,25,pink,clefairy,False,1,fast,mountain,upright,75.0,25.0,False,10.0,fairy,,False,False,False,mountain,['clefable']
vulpix,vulpix,39,50.0,190,brown,,False,1,medium,grassland,quadruped,75.0,25.0,False,20.0,ground,,False,False,False,field,"['vulpix', 'vulpix-alola']"
ninetales,ninetales,40,50.0,75,yellow,vulpix,False,1,medium,grassland,quadruped,75.0,25.0,False,20.0,ground,,False,False,False,field,"['ninetales', 'ninetales-alola']"
jigglypuff,jigglypuff,42,50.0,170,pink,igglybuff,False,1,fast,grassland,humanoid,75.0,25.0,False,10.0,fairy,,False,False,False,field,['jigglypuff']
wigglytuff,wigglytuff,43,50.0,50,pink,jigglypuff,False,1,fast,grassland,humanoid,75.0,25.0,False,10.0,fairy,,False,False,False,field,['wigglytuff']
zubat,zubat,44,50.0,255,purple,,False,1,medium,cave,wings,50.0,50.0,True,15.0,flying,,False,False,False,mountain,['zubat']
golbat,golbat,45,50.0,90,purple,zubat,False,1,medium,cave,wings,50.0,50.0,True,15.0,flying,,False,False,False,mountain,['golbat']
oddish,oddish,47,50.0,255,blue,,False,1,medium-slow,grassland,legs,50.0,50.0,False,20.0,plant,,False,False,False,forest,['oddish']
gloom,gloom,48,50.0,120,blue,oddish,False,1,medium-slow,grassland,humanoid,50.0,50.0,True,20.0,plant,,False,False,False,forest,['gloom']
vileplume,vileplume,49,50.0,45,red,gloom,False,1,medium-slow,grassland,humanoid,50.0,50.0,True,20.0,plant,,False,False,False,forest,['vileplume']
paras,paras,51,70.0,190,red,,False,1,medium,forest,armor,50.0,50.0,False,20.0,bug,plant,False,False,False,forest,['paras']
parasect,parasect,52,70.0,75,red,paras,False,1,medium,forest,armor,50.0,50.0,False,20.0,bug,plant,False,False,False,forest,['parasect']
venonat,venonat,53,70.0,190,purple,,False,1,medium,forest,humanoid,50.0,50.0,False,20.0,bug,,False,False,False,forest,['venonat']
venomoth,venomoth,54,70.0,75,purple,venonat,False,1,medium,forest,bug-wings,50.0,50.0,False,20.0,bug,,False,False,False,forest,['venomoth']
diglett,diglett,55,50.0,255,brown,,False,1,medium,cave,blob,50.0,50.0,False,20.0,ground,,False,False,False,mountain,"['diglett', 'diglett-alola']"
dugtrio,dugtrio,56,50.0,50,brown,diglett,False,1,medium,cave,heads,50.0,50.0,False,20.0,ground,,False,False,False,mountain,"['dugtrio', 'dugtrio-alola']"
meowth,meowth,57,50.0,255,yellow,,False,1,medium,urban,quadruped,50.0,50.0,False,20.0,ground,,False,False,False,field,"['meowth', 'meowth-alola', 'meowth-galar', 'meowth-gmax']"
persian,persian,58,50.0,90,yellow,meowth,False,1,medium,urban,quadruped,50.0,50.0,False,20.0,ground,,False,False,False,field,"['persian', 'persian-alola']"
psyduck,psyduck,59,50.0,190,yellow,,False,1,medium,waters-edge,upright,50.0,50.0,False,20.0,water1,ground,False,False,False,pond,['psyduck']
golduck,golduck,60,50.0,75,blue,psyduck,False,1,medium,waters-edge,upright,50.0,50.0,False,20.0,water1,ground,False,False,False,pond,['golduck']
mankey,mankey,61,70.0,190,brown,,False,1,medium,mountain,upright,50.0,50.0,False,20.0,ground,,False,False,False,mountain,['mankey']
primeape,primeape,62,70.0,75,brown,mankey,False,1,medium,mountain,upright,50.0,50.0,False,20.0,ground,,False,False,False,mountain,['primeape']
growlithe,growlithe,63,50.0,190,brown,,False,1,slow,grassland,quadruped,25.0,75.0,False,20.0,ground,,False,False,False,field,"['growlithe', 'growlithe-hisui']"
arcanine,arcanine,64,50.0,75,brown,growlithe,False,1,slow,grassland,quadruped,25.0,75.0,False,20.0,ground,,False,False,False,field,"['arcanine', 'arcanine-hisui']"
poliwag,poliwag,65,50.0,255,blue,,False,1,medium-slow,waters-edge,legs,50.0,50.0,False,20.0,water1,,False,False,False,pond,['poliwag']
poliwhirl,poliwhirl,66,50.0,120,blue,poliwag,False,1,medium-slow,waters-edge,humanoid,50.0,50.0,False,20.0,water1,,False,False,False,pond,['poliwhirl']
poliwrath,poliwrath,67,50.0,45,blue,poliwhirl,False,1,medium-slow,waters-edge,humanoid,50.0,50.0,False,20.0,water1,,False,False,False,pond,['poliwrath']
abra,abra,69,50.0,200,brown,,False,1,medium-slow,urban,upright,25.0,75.0,False,20.0,humanshape,,False,False,False,field,['abra']
kadabra,kadabra,70,50.0,100,brown,abra,False,1,medium-slow,urban,upright,25.0,75.0,True,20.0,humanshape,,False,False,False,field,['kadabra']
alakazam,alakazam,71,50.0,50,brown,kadabra,True,1,medium-slow,urban,humanoid,25.0,75.0,True,20.0,humanshape,,False,False,False,field,"['alakazam', 'alakazam-mega']"
machop,machop,72,50.0,180,gray,,False,1,medium-slow,mountain,upright,25.0,75.0,False,20.0,humanshape,,False,False,False,mountain,['machop']
machoke,machoke,73,50.0,90,gray,machop,False,1,medium-slow,mountain,humanoid,25.0,75.0,False,20.0,humanshape,,False,False,False,mountain,['machoke']
machamp,machamp,74,50.0,45,gray,machoke,False,1,medium-slow,mountain,humanoid,25.0,75.0,False,20.0,humanshape,,False,False,False,mountain,"['machamp', 'machamp-gmax']"
bellsprout,bellsprout,75,70.0,255,green,,False,1,medium-slow,forest,humanoid,50.0,50.0,False,20.0,plant,,False,False,False,forest,['bellsprout']
weepinbell,weepinbell,76,70.0,120,green,bellsprout,False,1,medium-slow,forest,blob,50.0,50.0,False,20.0,plant,,False,False,False,forest,['weepinbell']
victreebel,victreebel,77,70.0,45,green,weepinbell,False,1,medium-slow,forest,blob,50.0,50.0,False,20.0,plant,,False,False,False,forest,['victreebel']
tentacool,tentacool,78,50.0,190,blue,,False,1,slow,sea,tentacles,50.0,50.0,False,20.0,water3,,False,False,False,sea,['tentacool']
tentacruel,tentacruel,79,50.0,60,blue,tentacool,False,1,slow,sea,tentacles,50.0,50.0,False,20.0,water3,,False,False,False,sea,['tentacruel']
geodude,geodude,80,70.0,255,brown,,False,1,medium-slow,mountain,arms,50.0,50.0,False,15.0,mineral,,False,False,False,mountain,"['geodude', 'geodude-alola']"
graveler,graveler,81,70.0,120,brown,geodude,False,1,medium-slow,mountain,humanoid,50.0,50.0,False,15.0,mineral,,False,False,False,mountain,"['graveler', 'graveler-alola']"
golem,golem,82,70.0,45,brown,graveler,False,1,medium-slow,mountain,humanoid,50.0,50.0,False,15.0,mineral,,False,False,False,mountain,"['golem', 'golem-alola']"
ponyta,ponyta,83,50.0,190,yellow,,False,1,medium,grassland,quadruped,50.0,50.0,False,20.0,ground,,False,False,False,field,"['ponyta', 'ponyta-galar']"
rapidash,rapidash,84,50.0,60,yellow,ponyta,False,1,medium,grassland,quadruped,50.0,50.0,False,20.0,ground,,False,False,False,field,"['rapidash', 'rapidash-galar']"
slowpoke,slowpoke,85,50.0,190,pink,,False,1,medium,waters-edge,quadruped,50.0,50.0,False,20.0,monster,water1,False,False,False,pond,"['slowpoke', 'slowpoke-galar']"
slowbro,slowbro,86,50.0,75,pink,slowpoke,True,1,medium,waters-edge,upright,50.0,50.0,False,20.0,monster,water1,False,False,False,pond,"['slowbro', 'slowbro-mega', 'slowbro-galar']"
magnemite,magnemite,88,50.0,190,gray,,False,1,medium,rough-terrain,arms,0.0,0.0,False,20.0,mineral,,False,False,False,mountain,['magnemite']
magneton,magneton,89,50.0,60,gray,magnemite,False,1,medium,rough-terrain,heads,0.0,0.0,False,20.0,mineral,,False,False,False,mountain,['magneton']
farfetchd,farfetchd,91,50.0,45,brown,,False,1,medium,grassland,wings,50.0,50.0,False,20.0,flying,ground,False,False,False,field,"['farfetchd', 'farfetchd-galar']"
doduo,doduo,92,70.0,190,brown,,False,1,medium,grassland,legs,50.0,50.0,True,20.0,flying,,False,False,False,field,['doduo']
dodrio,dodrio,93,70.0,45,brown,doduo,False,1,medium,grassland,legs,50.0,50.0,True,20.0,flying,,False,False,False,field,['dodrio']
seel,seel,94,70.0,190,white,,False,1,medium,sea,fish,50.0,50.0,False,20.0,water1,ground,False,False,False,sea,['seel']
dewgong,dewgong,95,70.0,75,white,seel,False,1,medium,sea,fish,50.0,50.0,False,20.0,water1,ground,False,False,False,sea,['dewgong']
grimer,grimer,96,70.0,190,purple,,False,1,medium,urban,arms,50.0,50.0,False,20.0,indeterminate,,False,False,False,field,"['grimer', 'grimer-alola']"
muk,muk,97,70.0,75,purple,grimer,False,1,medium,urban,arms,50.0,50.0,False,20.0,indeterminate,,False,False,False,field,"['muk', 'muk-alola']"
shellder,shellder,98,50.0,190,purple,,False,1,slow,sea,ball,50.0,50.0,False,20.0,water3,,False,False,False,sea,['shellder']
cloyster,cloyster,99,50.0,60,purple,shellder,False,1,slow,sea,ball,50.0,50.0,False,20.0,water3,,False,False,False,sea,['cloyster']
gastly,gastly,100,50.0,190,purple,,False,1,medium-slow,cave,ball,50.0,50.0,False,20.0,indeterminate,,False,False,False,forest,['gastly']
haunter,haunter,101,50.0,90,purple,gastly,False,1,medium-slow,cave,arms,50.0,50.0,False,20.0,indeterminate,,False,False,False,forest,['haunter']
gengar,gengar,102,50.0,45,purple,haunter,True,1,medium-slow,cave,upright,50.0,50.0,False,20.0,indeterminate,,False,False,False,forest,"['gengar', 'gengar-mega', 'gengar-gmax']"
onix,onix,103,50.0,45,gray,,False,1,medium,cave,squiggle,50.0,50.0,False,25.0,mineral,,False,False,False,mountain,['onix']
drowzee,drowzee,105,70.0,190,yellow,,False,1,medium,grassland,humanoid,50.0,50.0,False,20.0,humanshape,,False,False,False,forest,['drowzee']
hypno,hypno,106,70.0,75,yellow,drowzee,False,1,medium,grassland,humanoid,50.0,50.0,True,20.0,humanshape,,False,False,False,forest,['hypno']
krabby,krabby,107,50.0,225,red,,False,1,medium,waters-edge,armor,50.0,50.0,False,20.0,water3,,False,False,False,sea,['krabby']
kingler,kingler,108,50.0,60,red,krabby,False,1,medium,waters-edge,armor,50.0,50.0,False,20.0,water3,,False,False,False,sea,"['kingler', 'kingler-gmax']"
voltorb,voltorb,109,70.0,190,red,,False,1,medium,urban,ball,0.0,0.0,False,20.0,mineral,,False,False,False,field,"['voltorb', 'voltorb-hisui']"
electrode,electrode,110,70.0,60,red,voltorb,False,1,medium,urban,ball,0.0,0.0,False,20.0,mineral,,False,False,False,field,"['electrode', 'electrode-hisui']"
exeggcute,exeggcute,111,50.0,90,pink,,False,1,slow,forest,heads,50.0,50.0,False,20.0,plant,,False,False,False,forest,['exeggcute']
exeggutor,exeggutor,112,50.0,45,yellow,exeggcute,False,1,slow,forest,legs,50.0,50.0,False,20.0,plant,,False,False,False,forest,"['exeggutor', 'exeggutor-alola']"
cubone,cubone,113,50.0,190,brown,,False,1,medium,mountain,upright,50.0,50.0,False,20.0,monster,,False,False,False,mountain,['cubone']
marowak,marowak,114,50.0,75,brown,cubone,False,1,medium,mountain,upright,50.0,50.0,False,20.0,monster,,False,False,False,mountain,"['marowak', 'marowak-alola', 'marowak-totem']"
hitmonlee,hitmonlee,116,50.0,45,brown,tyrogue,False,1,medium,urban,humanoid,0.0,100.0,False,25.0,humanshape,,False,False,False,mountain,['hitmonlee']
hitmonchan,hitmonchan,117,50.0,45,brown,tyrogue,False,1,medium,urban,humanoid,0.0,100.0,False,25.0,humanshape,,False,False,False,mountain,['hitmonchan']
lickitung,lickitung,119,50.0,45,pink,,False,1,medium,grassland,upright,50.0,50.0,False,20.0,monster,,False,False,False,field,['lickitung']
koffing,koffing,121,50.0,190,purple,,False,1,medium,urban,ball,50.0,50.0,False,20.0,indeterminate,,False,False,False,mountain,['koffing']
weezing,weezing,122,50.0,60,purple,koffing,False,1,medium,urban,heads,50.0,50.0,False,20.0,indeterminate,,False,False,False,mountain,"['weezing', 'weezing-galar']"
rhyhorn,rhyhorn,123,50.0,120,gray,,False,1,slow,rough-terrain,quadruped,50.0,50.0,True,20.0,monster,ground,False,False,False,mountain,['rhyhorn']
rhydon,rhydon,124,50.0,60,gray,rhyhorn,False,1,slow,rough-terrain,upright,50.0,50.0,True,20.0,monster,ground,False,False,False,mountain,['rhydon']
chansey,chansey,127,140.0,30,pink,happiny,False,1,fast,urban,upright,100.0,0.0,False,40.0,fairy,,False,False,False,field,['chansey']
tangela,tangela,129,50.0,45,blue,,False,1,medium,grassland,legs,50.0,50.0,False,20.0,plant,,False,False,False,forest,['tangela']
kangaskhan,kangaskhan,131,50.0,45,brown,,True,1,medium,grassland,upright,100.0,0.0,False,20.0,monster,,False,False,False,field,"['kangaskhan', 'kangaskhan-mega']"
horsea,horsea,132,50.0,225,blue,,False,1,medium,sea,blob,50.0,50.0,False,20.0,water1,dragon,False,False,False,sea,['horsea']
seadra,seadra,133,50.0,75,blue,horsea,False,1,medium,sea,blob,50.0,50.0,False,20.0,water1,dragon,False,False,False,sea,['seadra']
goldeen,goldeen,135,50.0,225,red,,False,1,medium,waters-edge,fish,50.0,50.0,True,20.0,water2,,False,False,False,pond,['goldeen']
seaking,seaking,136,50.0,60,red,goldeen,False,1,medium,waters-edge,fish,50.0,50.0,True,20.0,water2,,False,False,False,pond,['seaking']
staryu,staryu,137,50.0,225,brown,,False,1,slow,sea,blob,0.0,0.0,False,20.0,water3,,False,False,False,sea,['staryu']
starmie,starmie,138,50.0,60,purple,staryu,False,1,slow,sea,blob,0.0,0.0,False,20.0,water3,,False,False,False,sea,['starmie']
mr-mime,mr-mime,140,50.0,45,pink,mime-jr,False,1,medium,urban,humanoid,50.0,50.0,False,25.0,humanshape,,False,False,False,field,"['mr-mime', 'mr-mime-galar']"
scyther,scyther,141,50.0,45,green,,False,1,medium,grassland,bug-wings,50.0,50.0,True,25.0,bug,,False,False,False,field,['scyther']
jynx,jynx,144,50.0,45,red,smoochum,False,1,medium,urban,humanoid,100.0,0.0,False,25.0,humanshape,,False,False,False,field,['jynx']
electabuzz,electabuzz,146,50.0,45,yellow,elekid,False,1,medium,grassland,upright,25.0,75.0,False,25.0,humanshape,,False,False,False,mountain,['electabuzz']
magmar,magmar,149,50.0,45,red,magby,False,1,medium,mountain,upright,25.0,75.0,False,25.0,humanshape,,False,False,False,mountain,['magmar']
pinsir,pinsir,151,50.0,45,brown,,True,1,slow,forest,humanoid,50.0,50.0,False,25.0,bug,,False,False,False,forest,"['pinsir', 'pinsir-mega']"
tauros,tauros,152,50.0,45,brown,,False,1,slow,grassland,quadruped,0.0,100.0,False,20.0,ground,,False,False,False,field,"['tauros', 'tauros-paldea-combat-breed', 'tauros-paldea-blaze-breed', 'tauros-paldea-aqua-breed']"
magikarp,magikarp,153,50.0,255,red,,False,1,slow,waters-edge,fish,50.0,50.0,True,5.0,water2,dragon,False,False,False,pond,['magikarp']
gyarados,gyarados,154,50.0,45,blue,magikarp,True,1,slow,waters-edge,squiggle,50.0,50.0,True,5.0,water2,dragon,False,False,False,pond,"['gyarados', 'gyarados-mega']"
lapras,lapras,155,50.0,45,blue,,False,1,slow,sea,fish,50.0,50.0,False,40.0,monster,water1,False,False,False,sea,"['lapras', 'lapras-gmax']"
ditto,ditto,156,50.0,35,purple,,False,1,medium,urban,ball,0.0,0.0,False,20.0,ditto,,False,False,False,field,['ditto']
eevee,eevee,157,50.0,45,brown,,False,1,medium,urban,quadruped,12.5,87.5,False,35.0,ground,,False,False,False,field,"['eevee', 'eevee-starter', 'eevee-gmax']"
vaporeon,vaporeon,158,50.0,45,blue,eevee,False,1,medium,urban,quadruped,12.5,87.5,False,35.0,ground,,False,False,False,field,['vaporeon']
jolteon,jolteon,159,50.0,45,yellow,eevee,False,1,medium,urban,quadruped,12.5,87.5,False,35.0,ground,,False,False,False,field,['jolteon']
flareon,flareon,160,50.0,45,red,eevee,False,1,medium,urban,quadruped,12.5,87.5,False,35.0,ground,,False,False,False,field,['flareon']
porygon,porygon,166,50.0,45,pink,,False,1,medium,urban,legs,0.0,0.0,False,20.0,mineral,,False,False,False,field,['porygon']
omanyte,omanyte,169,50.0,45,blue,,False,1,medium,sea,tentacles,12.5,87.5,False,30.0,water1,water3,False,False,False,sea,['omanyte']
omastar,omastar,170,50.0,45,blue,omanyte,False,1,medium,sea,tentacles,12.5,87.5,False,30.0,water1,water3,False,False,False,sea,['omastar']
kabuto,kabuto,171,50.0,45,brown,,False,1,medium,sea,armor,12.5,87.5,False,30.0,water1,water3,False,False,False,sea,['kabuto']
kabutops,kabutops,172,50.0,45,brown,kabuto,False,1,medium,sea,upright,12.5,87.5,False,30.0,water1,water3,False,False,False,sea,['kabutops']
aerodactyl,aerodactyl,173,50.0,45,purple,,True,1,slow,mountain,wings,12.5,87.5,False,35.0,flying,,False,False,False,mountain,"['aerodactyl', 'aerodactyl-mega']"
snorlax,snorlax,175,50.0,25,black,munchlax,False,1,slow,mountain,humanoid,12.5,87.5,False,40.0,monster,,False,False,False,field,"['snorlax', 'snorlax-gmax']"
articuno,articuno,176,35.0,3,blue,,False,1,slow,rare,wings,0.0,0.0,False,80.0,no-eggs,,False,True,False,mountain,"['articuno', 'articuno-galar']"
zapdos,zapdos,177,35.0,3,yellow,,False,1,slow,rare,wings,0.0,0.0,False,80.0,no-eggs,,False,True,False,mountain,"['zapdos', 'zapdos-galar']"
moltres,moltres,178,35.0,3,yellow,,False,1,slow,rare,wings,0.0,0.0,False,80.0,no-eggs,,False,True,False,mountain,"['moltres', 'moltres-galar']"
dratini,dratini,179,35.0,45,blue,,False,1,slow,waters-edge,squiggle,50.0,50.0,False,40.0,water1,dragon,False,False,False,pond,['dratini']
dragonair,dragonair,180,35.0,45,blue,dratini,False,1,slow,waters-edge,squiggle,50.0,50.0,False,40.0,water1,dragon,False,False,False,pond,['dragonair']
dragonite,dragonite,181,35.0,45,brown,dragonair,False,1,slow,waters-edge,upright,50.0,50.0,False,40.0,water1,dragon,False,False,False,mountain,['dragonite']
mewtwo,mewtwo,182,0.0,3,purple,,True,1,slow,rare,upright,0.0,0.0,False,120.0,no-eggs,,False,True,False,field,"['mewtwo', 'mewtwo-mega-x', 'mewtwo-mega-y']"
mew,mew,183,100.0,45,pink,,False,1,medium-slow,rare,upright,0.0,0.0,False,120.0,no-eggs,,False,False,True,forest,['mew']
chikorita,chikorita,184,70.0,45,green,,False,2,medium-slow,grassland,quadruped,12.5,87.5,False,20.0,monster,plant,False,False,False,field,['chikorita']
bayleef,bayleef,185,70.0,45,green,chikorita,False,2,medium-slow,grassland,quadruped,12.5,87.5,False,20.0,monster,plant,False,False,False,field,['bayleef']
meganium,meganium,186,70.0,45,green,bayleef,False,2,medium-slow,grassland,quadruped,12.5,87.5,True,20.0,monster,plant,False,False,False,field,['meganium']
cyndaquil,cyndaquil,187,70.0,45,yellow,,False,2,medium-slow,grassland,humanoid,12.5,87.5,False,20.0,ground,,False,False,False,field,['cyndaquil']
quilava,quilava,188,70.0,45,yellow,cyndaquil,False,2,medium-slow,grassland,quadruped,12.5,87.5,False,20.0,ground,,False,False,False,field,['quilava']
typhlosion,typhlosion,189,70.0,45,yellow,quilava,False,2,medium-slow,grassland,quadruped,12.5,87.5,False,20.0,ground,,False,False,False,field,"['typhlosion', 'typhlosion-hisui']"
totodile,totodile,190,70.0,45,blue,,False,2,medium-slow,waters-edge,upright,12.5,87.5,False,20.0,monster,water1,False,False,False,pond,['totodile']
croconaw,croconaw,191,70.0,45,blue,totodile,False,2,medium-slow,waters-edge,upright,12.5,87.5,False,20.0,monster,water1,False,False,False,pond,['croconaw']
feraligatr,feraligatr,192,70.0,45,blue,croconaw,False,2,medium-slow,waters-edge,upright,12.5,87.5,False,20.0,monster,water1,False,False,False,mountain,['feraligatr']
sentret,sentret,193,70.0,255,brown,,False,2,medium,grassland,quadruped,50.0,50.0,False,15.0,ground,,False,False,False,field,['sentret']
furret,furret,194,70.0,90,brown,sentret,False,2,medium,grassland,quadruped,50.0,50.0,False,15.0,ground,,False,False,False,field,['furret']
hoothoot,hoothoot,195,50.0,255,brown,,False,2,medium,forest,wings,50.0,50.0,False,15.0,flying,,False,False,False,forest,['hoothoot']
noctowl,noctowl,196,50.0,90,brown,hoothoot,False,2,medium,forest,wings,50.0,50.0,False,15.0,flying,,False,False,False,forest,['noctowl']
ledyba,ledyba,197,70.0,255,red,,False,2,fast,forest,wings,50.0,50.0,True,15.0,bug,,False,False,False,field,['ledyba']
ledian,ledian,198,70.0,90,red,ledyba,False,2,fast,forest,wings,50.0,50.0,True,15.0,bug,,False,False,False,field,['ledian']
spinarak,spinarak,199,70.0,255,green,,False,2,fast,forest,armor,50.0,50.0,False,15.0,bug,,False,False,False,field,['spinarak']
ariados,ariados,200,70.0,90,red,spinarak,False,2,fast,forest,armor,50.0,50.0,False,15.0,bug,,False,False,False,field,['ariados']
crobat,crobat,46,50.0,90,purple,golbat,False,2,medium,cave,bug-wings,50.0,50.0,False,15.0,flying,,False,False,False,mountain,['crobat']
chinchou,chinchou,201,50.0,190,blue,,False,2,slow,sea,fish,50.0,50.0,False,20.0,water2,,False,False,False,sea,['chinchou']
lanturn,lanturn,202,50.0,75,blue,chinchou,False,2,slow,sea,fish,50.0,50.0,False,20.0,water2,,False,False,False,sea,['lanturn']
pichu,pichu,25,50.0,190,yellow,,False,2,medium,forest,quadruped,50.0,50.0,False,10.0,no-eggs,,True,False,False,field,['pichu']
cleffa,cleffa,36,140.0,150,pink,,False,2,fast,mountain,upright,75.0,25.0,False,10.0,no-eggs,,True,False,False,field,['cleffa']
